,name,description,category,resource,homepage,show,projectrank,github_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,contributor_count,open_issue_count,closed_issue_count,commit_count,license,updated_github_id,dependent_project_count,github_dependent_project_count,pypi_id,conda_id,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads
259,EasyOCR,Ready-to-use OCR with 40+ languages supported.,Computer Vision,,https://github.com/JaidedAI/EasyOCR,True,32,JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,2020-03-14 11:46:39.000,2024-03-27 11:25:38.000,2023-09-04 11:42:16,2863.0,21682.0,128.0,348.0,587.0,615.0,Apache-2.0,,5730.0,5730.0,EasyOCR,conda-forge/EasyOCR,2023-09-04 11:53:04,1.7.1,22.0,https://pypi.org/project/EasyOCR,235472.0,452505.0,https://anaconda.org/conda-forge/EasyOCR,2023-09-05 19:22:07.765,11075.0,1.0,,9955239.0
260,sanic,A Python 3.6+ web server and web framework that's written to go fast.,RESTful API,,https://github.com/sanic-org/sanic,True,32,huge-success/sanic,https://github.com/sanic-org/sanic,2016-05-26 04:38:22.000,2024-04-04 13:37:03.000,2024-04-01 12:54:20,1510.0,17685.0,343.0,89.0,1289.0,,MIT,sanic-org/sanic,17010.0,17010.0,sanic,conda-forge/sanic,2024-01-09 17:47:23,23.12.1,70.0,https://pypi.org/project/sanic,884424.0,891281.0,https://anaconda.org/conda-forge/sanic,2024-01-09 20:43:02.096,315426.0,2.0,,
261,Prefect,"A modern workflow orchestration framework that makes it easy to build, schedule and monitor robust data pipelines.",Job Scheduler,,https://github.com/PrefectHQ/prefect,True,32,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,2018-06-29 21:59:26.000,2024-04-04 14:19:14.000,2024-04-04 00:05:05,1418.0,14424.0,236.0,605.0,4038.0,,Apache-2.0,,4668.0,4668.0,prefect,conda-forge/prefect,2024-03-29 15:04:05,2.16.8,220.0,https://pypi.org/project/prefect,893650.0,906731.0,https://anaconda.org/conda-forge/prefect,2024-03-29 17:40:19.754,614821.0,1.0,,
262,yapf,Yet another Python code formatter from Google.,Code Analysis,,https://github.com/google/yapf,True,32,google/yapf,https://github.com/google/yapf,2015-03-18 18:22:31.000,2024-04-01 20:13:45.000,2024-04-01 20:13:38,875.0,13625.0,154.0,375.0,463.0,,Apache-2.0,,91650.0,91650.0,yapf,conda-forge/yapf,,,26.0,https://pypi.org/project/yapf,5300251.0,5348666.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1742973.0,2.0,,
263,pelican,Static site generator that supports Markdown and reST syntax.,Static Site Generator,,https://github.com/getpelican/pelican,True,32,getpelican/pelican,https://github.com/getpelican/pelican,2010-10-16 18:57:40.000,2024-03-27 07:28:24.000,2024-03-27 07:26:55,1785.0,12180.0,456.0,30.0,1617.0,3800.0,AGPL-3.0,,7738.0,7738.0,pelican,conda-forge/pelican,2023-11-15 17:16:41,4.9.1,22.0,https://pypi.org/project/pelican,28667.0,32044.0,https://anaconda.org/conda-forge/pelican,2023-11-27 14:15:58.572,148116.0,1.0,,1037.0
264,dask,A flexible parallel computing library for analytic computing.,Distributed Computing,,https://github.com/dask/dask,True,32,dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00.000,2024-04-04 14:12:00.000,2024-04-03 22:50:15,1639.0,11940.0,597.0,860.0,4136.0,,BSD-3-Clause,,58758.0,58758.0,dask,conda-forge/dask,,,169.0,https://pypi.org/project/dask,7105421.0,7336815.0,https://anaconda.org/conda-forge/dask,2024-04-02 01:05:48.705,10875535.0,2.0,,
265,PyAutoGUI,PyAutoGUI is a cross-platform GUI automation Python module for human beings.,Testing,,https://github.com/asweigart/pyautogui,True,32,asweigart/pyautogui,https://github.com/asweigart/pyautogui,2014-07-17 23:30:38.000,2024-03-27 14:15:57.000,2023-06-07 11:16:23,1160.0,9482.0,52.0,451.0,231.0,408.0,BSD-3-Clause,,33259.0,33259.0,pyautogui,conda-forge/pyautogui,,,12.0,https://pypi.org/project/pyautogui,675051.0,680264.0,https://anaconda.org/conda-forge/pyautogui,2023-10-16 16:49:29.444,218951.0,2.0,,
266,django-allauth,Authentication app for Django that just works.,Authentication,,https://github.com/pennersr/django-allauth,True,32,pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52.000,2024-04-04 07:36:50.000,2024-04-04 07:35:56,2826.0,8830.0,689.0,69.0,2117.0,,MIT,,216603.0,216603.0,django-allauth,conda-forge/django-allauth,,,29.0,https://pypi.org/project/django-allauth,829166.0,833896.0,https://anaconda.org/conda-forge/django-allauth,2024-02-09 11:56:42.359,113540.0,2.0,,
267,pip-tools,A set of tools to keep your pinned Python dependencies fresh.,Package Management,,https://github.com/jazzband/pip-tools,True,32,jazzband/pip-tools,https://github.com/jazzband/pip-tools,2012-09-10 08:50:26.000,2024-03-25 20:05:37.000,2024-03-25 19:56:14,529.0,7427.0,209.0,147.0,894.0,,BSD-3-Clause,,26786.0,26786.0,pip-tools,conda-forge/pip-tools,2024-03-06 12:11:59,7.4.1,69.0,https://pypi.org/project/pip-tools,13019961.0,13022991.0,https://anaconda.org/conda-forge/pip-tools,2024-03-06 14:43:42.984,142449.0,1.0,,
268,hypothesis,Hypothesis is an advanced Quickcheck style property based testing library.,Testing,,https://github.com/HypothesisWorks/hypothesis,True,32,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,2013-03-10 13:51:19.000,2024-04-01 00:46:34.118,2024-03-31 22:30:01,563.0,7232.0,329.0,36.0,1475.0,14303.0,,,25946.0,25946.0,hypothesis,conda-forge/hypothesis,2023-04-26 08:30:52,hypothesis-python-6.74.0,780.0,https://pypi.org/project/hypothesis,6926338.0,7107108.0,https://anaconda.org/conda-forge/hypothesis,2024-04-01 00:46:34.118,8496228.0,2.0,,
269,marshmallow,A lightweight library for converting complex objects to and from simple Python datatypes.,Serialization,,https://github.com/marshmallow-code/marshmallow,True,32,marshmallow-code/marshmallow,https://github.com/marshmallow-code/marshmallow,2013-11-10 21:32:24.000,2024-04-01 21:36:02.000,2024-04-01 21:36:02,610.0,6874.0,208.0,145.0,1050.0,,MIT,,128904.0,128904.0,marshmallow,conda-forge/marshmallow,,,57.0,https://pypi.org/project/marshmallow,45496832.0,45547312.0,https://anaconda.org/conda-forge/marshmallow,2024-03-04 23:34:28.542,2322100.0,1.0,,
270,sh,A full-fledged subprocess replacement for Python.,Processes,,https://github.com/amoffat/sh,True,32,amoffat/sh,https://github.com/amoffat/sh,2012-01-15 05:52:06.000,2024-03-13 16:46:44.000,2024-03-13 16:46:43,484.0,6842.0,98.0,6.0,466.0,1464.0,MIT,,14380.0,14380.0,sh,conda-forge/sh,2023-08-14 08:32:59,2.0.0,11.0,https://pypi.org/project/sh,7058132.0,7062724.0,https://anaconda.org/conda-forge/sh,2023-08-10 02:31:43.807,192880.0,1.0,,
271,xmltodict,Working with XML feel like you are working with JSON.,HTML Manipulation,,https://github.com/martinblech/xmltodict,True,32,martinblech/xmltodict,https://github.com/martinblech/xmltodict,2012-04-17 14:38:21.000,2024-02-02 09:12:11.000,2023-03-12 19:26:01,451.0,5361.0,49.0,83.0,162.0,221.0,MIT,,64686.0,64686.0,xmltodict,conda-forge/xmltodict,,,4.0,https://pypi.org/project/xmltodict,44906451.0,44947176.0,https://anaconda.org/conda-forge/xmltodict,2023-06-16 13:20:35.475,3746716.0,2.0,,
272,XlsxWriter,A Python module for creating Excel .xlsx files.,Specific Formats Processing,,https://github.com/jmcnamara/XlsxWriter,True,32,jmcnamara/XlsxWriter,https://github.com/jmcnamara/XlsxWriter,2013-01-04 01:07:06.000,2024-03-02 01:43:51.000,2024-02-23 23:49:46,612.0,3476.0,52.0,13.0,914.0,1170.0,BSD-2-Clause,,74879.0,74879.0,XlsxWriter,conda-forge/XlsxWriter,,,62.0,https://pypi.org/project/XlsxWriter,18306076.0,18373183.0,https://anaconda.org/conda-forge/XlsxWriter,2023-11-05 19:10:43.834,3154067.0,2.0,,
273,schema,A library for validating Python data structures.,Data Validation,,https://github.com/keleshev/schema,True,32,keleshev/schema,https://github.com/keleshev/schema,2012-08-19 18:56:20.000,2024-03-26 14:38:38.000,2024-03-26 14:38:36,202.0,2828.0,67.0,78.0,78.0,431.0,MIT,,8624.0,8624.0,schema,conda-forge/schema,2024-03-26 14:38:51,0.7.6,12.0,https://pypi.org/project/schema,16820812.0,16823376.0,https://anaconda.org/conda-forge/schema,2023-06-16 16:16:09.653,146181.0,2.0,,
274,VCR.py,Record and replay HTTP interactions on your tests.,Testing,,https://github.com/kevin1024/vcrpy,True,32,kevin1024/vcrpy,https://github.com/kevin1024/vcrpy,2012-05-29 04:52:00.000,2024-04-03 18:01:29.000,2024-03-11 18:35:43,351.0,2599.0,142.0,91.0,290.0,1274.0,MIT,,8526.0,8526.0,vcrpy,conda-forge/vcrpy,2024-01-25 16:15:23,6.0.1,61.0,https://pypi.org/project/vcrpy,1224647.0,1232024.0,https://anaconda.org/conda-forge/vcrpy,2024-02-07 19:44:28.619,331996.0,2.0,,
275,wemake-python-styleguide,The strictest and most opinionated python linter ever.,Code Analysis,,https://github.com/wemake-services/wemake-python-styleguide,True,32,wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2018-03-09 21:04:25.000,2024-04-03 07:16:00.000,2024-04-03 07:15:58,378.0,2399.0,184.0,109.0,970.0,2429.0,MIT,,16245.0,16245.0,wemake-python-styleguide,conda-forge/wemake-python-styleguide,2024-03-26 15:48:27,0.19.2,58.0,https://pypi.org/project/wemake-python-styleguide,188780.0,188780.0,https://anaconda.org/conda-forge/wemake-python-styleguide,,,2.0,,
276,Rope,Rope is a python refactoring library.,Refactoring,,https://github.com/python-rope/rope,True,32,python-rope/rope,https://github.com/python-rope/rope,2013-11-30 15:30:20.000,2024-04-04 14:18:38.000,2024-04-04 14:18:14,161.0,1827.0,81.0,94.0,257.0,3358.0,LGPL-3.0,,72742.0,72742.0,rope,conda-forge/rope,2024-03-24 14:59:27,1.13.0,28.0,https://pypi.org/project/rope,909540.0,943304.0,https://anaconda.org/conda-forge/rope,2024-03-24 16:07:49.962,1417738.0,1.0,10.0,28.0
277,blinker,A fast Python in-process signal/event dispatching system.,Miscellaneous,,https://github.com/pallets-eco/blinker,True,32,jek/blinker,https://github.com/pallets-eco/blinker,2013-07-03 10:32:39.000,2024-02-01 16:09:49.000,2023-11-01 22:06:09,172.0,1660.0,19.0,2.0,45.0,,MIT,pallets-eco/blinker,316498.0,316498.0,blinker,conda-forge/blinker,2023-11-01 22:14:31,1.7.0,7.0,https://pypi.org/project/blinker,35655558.0,36282109.0,https://anaconda.org/conda-forge/blinker,2023-11-02 01:59:07.071,11277915.0,2.0,,38.0
278,TheAlgorithms,All Algorithms implemented in Python.,Algorithms and Design Patterns,,https://github.com/TheAlgorithms/Python,True,31,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16 09:44:01.000,2024-04-02 22:11:03.000,2024-04-02 19:29:34,42255.0,177269.0,1194.0,31.0,1412.0,3327.0,MIT,,3.0,3.0,Python,conda-forge/Python,,,113.0,https://pypi.org/project/Python,,2634561.0,https://anaconda.org/conda-forge/Python,2024-03-20 21:56:30.875,121189842.0,1.0,,
279,poetry,Python dependency management and packaging made easy.,Package Management,,https://github.com/python-poetry/poetry,True,31,sdispater/poetry,https://github.com/python-poetry/poetry,2018-02-28 15:23:47.000,2024-04-03 06:41:25.000,2024-04-02 08:19:17,2174.0,29249.0,551.0,569.0,5053.0,3110.0,MIT,python-poetry/poetry,,,poetry,conda-forge/poetry,2024-03-02 15:26:36,1.8.2,100.0,https://pypi.org/project/poetry,34668611.0,34923789.0,https://anaconda.org/conda-forge/poetry,2024-03-03 16:09:33.641,1148219.0,3.0,,15424598.0
280,schedule,Python job scheduling for humans.,Job Scheduler,,https://github.com/dbader/schedule,True,31,dbader/schedule,https://github.com/dbader/schedule,2013-05-19 12:51:20.000,2024-03-17 17:45:03.000,2023-12-10 09:31:47,864.0,11445.0,59.0,134.0,295.0,395.0,MIT,,33438.0,33438.0,schedule,conda-forge/schedule,,,5.0,https://pypi.org/project/schedule,2132459.0,2133805.0,https://anaconda.org/conda-forge/schedule,2023-10-02 12:55:42.807,52503.0,2.0,,
281,fuzzywuzzy,Fuzzy String Matching.,Text Processing,,https://github.com/seatgeek/fuzzywuzzy,True,31,seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,2011-07-08 19:32:34.000,2023-06-16 13:22:53.603,2021-09-09 20:54:41,870.0,9099.0,70.0,83.0,103.0,384.0,GPL-2.0,,23508.0,23508.0,fuzzywuzzy,conda-forge/fuzzywuzzy,2020-02-13 22:14:12,0.18.0,23.0,https://pypi.org/project/fuzzywuzzy,7343646.0,7349300.0,https://anaconda.org/conda-forge/fuzzywuzzy,2023-06-16 13:22:53.603,525851.0,2.0,,
282,django-debug-toolbar,Display various debug information for Django.,Debugging Tools,,https://github.com/jazzband/django-debug-toolbar,True,31,jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04.000,2024-03-30 10:00:14.000,2024-03-30 10:00:08,902.0,7883.0,283.0,69.0,811.0,,BSD-3-Clause,,86222.0,86222.0,django-debug-toolbar,conda-forge/django-debug-toolbar,2024-02-01 19:35:16,4.3,30.0,https://pypi.org/project/django-debug-toolbar,2664248.0,2668314.0,https://anaconda.org/conda-forge/django-debug-toolbar,2024-02-02 17:35:23.617,174817.0,1.0,,213.0
283,PyPDF2,"A library capable of splitting, merging and transforming PDF pages.",Specific Formats Processing,,https://github.com/py-pdf/pypdf,True,31,mstamy2/PyPDF2,https://github.com/py-pdf/pypdf,2012-01-06 17:13:38.000,2024-04-04 08:43:31.000,2024-04-04 08:40:40,1199.0,7278.0,224.0,86.0,949.0,,,py-pdf/pypdf,72999.0,72999.0,PyPDF2,conda-forge/PyPDF2,2024-03-03 11:50:05,4.1.0,95.0,https://pypi.org/project/PyPDF2,6258175.0,6263825.0,https://anaconda.org/conda-forge/PyPDF2,2023-06-16 13:17:51.041,531100.0,2.0,,
284,boltons,A set of pure-Python utilities.,Miscellaneous,,https://github.com/mahmoud/boltons,True,31,mahmoud/boltons,https://github.com/mahmoud/boltons,2013-02-20 06:17:12.000,2024-04-01 01:56:18.939,2024-03-31 22:41:50,346.0,6400.0,90.0,52.0,109.0,1559.0,,,6754.0,6754.0,boltons,conda-forge/boltons,2024-03-31 22:43:26,24.0.0,21.0,https://pypi.org/project/boltons,4046306.0,4141474.0,https://anaconda.org/conda-forge/boltons,2024-04-01 01:56:18.939,4377742.0,3.0,,25.0
285,websockets,A library for building WebSocket servers and clients with a focus on correctness and simplicity.,WebSocket,,https://github.com/python-websockets/websockets,True,31,aaugustin/websockets,https://github.com/python-websockets/websockets,2013-03-30 08:59:30.000,2024-03-25 07:01:55.000,2024-02-11 20:20:48,492.0,4952.0,71.0,36.0,1038.0,,BSD-3-Clause,python-websockets/websockets,173666.0,173666.0,websockets,conda-forge/websockets,2023-10-21 14:25:02,12.0,38.0,https://pypi.org/project/websockets,26822379.0,26880076.0,https://anaconda.org/conda-forge/websockets,2023-10-21 19:12:20.114,2481009.0,1.0,,
286,django-haystack,Modular search for Django.,Search,,https://github.com/django-haystack/django-haystack,True,31,django-haystack/django-haystack,https://github.com/django-haystack/django-haystack,2009-01-29 20:23:57.000,2024-04-02 01:31:23.000,2024-04-02 01:31:22,1210.0,3535.0,214.0,431.0,750.0,1884.0,,,9580.0,9580.0,django-haystack,conda-forge/django-haystack,2023-12-07 17:10:09,3.2.1,13.0,https://pypi.org/project/django-haystack,131025.0,133956.0,https://anaconda.org/conda-forge/django-haystack,2024-02-11 15:33:14.217,5862.0,1.0,,
287,splinter,Open source tool for testing web applications.,Testing,,https://github.com/cobrateam/splinter,True,31,cobrateam/splinter,https://github.com/cobrateam/splinter,2010-09-18 20:59:15.000,2024-04-03 11:18:32.000,2024-04-03 11:18:31,495.0,2683.0,180.0,41.0,482.0,2285.0,BSD-3-Clause,,6693.0,6693.0,splinter,conda-forge/splinter,2023-01-17 23:34:20,0.19.0,14.0,https://pypi.org/project/splinter,152101.0,152101.0,https://anaconda.org/conda-forge/splinter,,,2.0,,
288,shortuuid,"A generator library for concise, unambiguous and URL-safe UUIDs.",Text Processing,,https://github.com/skorokithakis/shortuuid,True,31,skorokithakis/shortuuid,https://github.com/skorokithakis/shortuuid,2011-01-08 13:00:43.000,2024-03-12 13:53:12.123,2024-03-11 20:09:49,107.0,1983.0,34.0,,63.0,176.0,BSD-3-Clause,,23354.0,23354.0,shortuuid,conda-forge/shortuuid,2020-03-06 11:40:22,1.0.0,13.0,https://pypi.org/project/shortuuid,3873963.0,3884414.0,https://anaconda.org/conda-forge/shortuuid,2024-03-12 13:53:12.123,438962.0,2.0,,
289,voluptuous,A Python data validation library.,Data Validation,,https://github.com/alecthomas/voluptuous,True,31,alecthomas/voluptuous,https://github.com/alecthomas/voluptuous,2010-07-15 09:55:10.000,2024-02-19 02:58:43.000,2024-02-02 20:44:49,211.0,1797.0,96.0,38.0,211.0,482.0,BSD-3-Clause,,15586.0,15586.0,voluptuous,conda-forge/voluptuous,2024-02-03 11:18:50,0.14.2,15.0,https://pypi.org/project/voluptuous,2993117.0,3001648.0,https://anaconda.org/conda-forge/voluptuous,2024-02-03 13:43:43.942,349802.0,2.0,,
290,django-pipeline,An asset packaging library for Django.,Web Asset Management,,https://github.com/jazzband/django-pipeline,True,31,jazzband/django-pipeline,https://github.com/jazzband/django-pipeline,2011-06-03 19:01:34.000,2024-04-01 17:38:15.000,2024-01-15 14:16:52,347.0,1491.0,177.0,117.0,327.0,1214.0,MIT,,2425.0,2425.0,django-pipeline,conda-forge/django-pipeline,2024-01-15 14:29:18,3.0.0,13.0,https://pypi.org/project/django-pipeline,144717.0,144717.0,https://anaconda.org/conda-forge/django-pipeline,,,2.0,,
291,python-slugify,A Python slugify library that translates unicode to ASCII.,Text Processing,,https://github.com/un33k/python-slugify,True,31,un33k/python-slugify,https://github.com/un33k/python-slugify,2012-10-15 01:44:50.000,2024-03-01 18:21:18.000,2024-03-01 18:21:15,104.0,1443.0,36.0,2.0,71.0,273.0,MIT,,80340.0,80340.0,python-slugify,conda-forge/python-slugify,,,26.0,https://pypi.org/project/python-slugify,18374942.0,18418790.0,https://anaconda.org/conda-forge/python-slugify,2024-02-08 20:57:18.711,1973176.0,2.0,,
292,wand,"Python bindings for [MagickWand](http://www.imagemagick.org/script/magick-wand.php), C API for ImageMagick.",Image Processing,,https://github.com/emcconville/wand,True,31,dahlia/wand,https://github.com/emcconville/wand,2011-09-30 21:36:38.000,2024-03-26 18:33:29.000,2024-02-11 16:39:29,199.0,1356.0,104.0,19.0,397.0,1856.0,,emcconville/wand,18605.0,18605.0,wand,conda-forge/wand,2023-11-04 01:41:17,0.6.13,25.0,https://pypi.org/project/wand,924872.0,926237.0,https://anaconda.org/conda-forge/wand,2023-06-16 16:16:46.218,38054.0,1.0,,44634.0
293,diagrams,Diagram as Code.,Data Visualization,,https://github.com/mingrammer/diagrams,True,30,mingrammer/diagrams,https://github.com/mingrammer/diagrams,2020-02-02 15:23:24.000,2024-03-29 15:20:31.000,2024-01-05 14:42:12,2200.0,34689.0,137.0,294.0,189.0,533.0,MIT,,1410.0,1410.0,diagrams,conda-forge/diagrams,2023-10-30 14:16:37,0.23.4,40.0,https://pypi.org/project/diagrams,154670.0,158436.0,https://anaconda.org/conda-forge/diagrams,2023-10-30 17:06:42.710,177036.0,3.0,,
294,locust,Scalable user load testing tool written in Python.,Testing,,https://github.com/locustio/locust,True,30,locustio/locust,https://github.com/locustio/locust,2011-02-17 11:08:03.000,2024-04-04 08:32:17.000,2024-03-29 08:50:55,2806.0,23493.0,322.0,28.0,1563.0,4657.0,MIT,,4.0,4.0,locust,conda-forge/locust,2024-03-20 19:21:04,2.24.1,100.0,https://pypi.org/project/locust,1730127.0,1733125.0,https://anaconda.org/conda-forge/locust,2024-03-21 00:17:29.668,140930.0,2.0,,
295,Zipline,A Pythonic algorithmic trading library.,Science,,https://github.com/quantopian/zipline,True,30,quantopian/zipline,https://github.com/quantopian/zipline,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000,2020-10-14 16:36:49,4141.0,17017.0,160.0,325.0,658.0,6226.0,Apache-2.0,,988.0,988.0,zipline,conda-forge/zipline,2020-10-05 15:43:07,1.4.1,13.0,https://pypi.org/project/zipline,2805.0,2979.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,7498.0,2.0,,
296,requests-html,Pythonic HTML Parsing for Humans.,Web Content Extracting,,https://github.com/psf/requests-html,True,30,psf/requests-html,https://github.com/psf/requests-html,2018-02-24 20:11:02.000,2024-02-26 13:41:57.000,2023-04-03 17:09:56,918.0,13558.0,66.0,179.0,219.0,462.0,MIT,,13338.0,13338.0,requests-html,conda-forge/requests-html,2019-02-18 21:38:41,0.10.0,1.0,https://pypi.org/project/requests-html,1110470.0,1110744.0,https://anaconda.org/conda-forge/requests-html,2023-06-16 19:26:35.142,9325.0,1.0,,
297,beets,A music library manager and [MusicBrainz](https://musicbrainz.org/) tagger.,Audio,,https://github.com/beetbox/beets,True,30,beetbox/beets,https://github.com/beetbox/beets,2010-08-09 23:17:20.000,2024-03-31 10:32:38.000,2024-03-24 07:41:29,1755.0,12345.0,566.0,542.0,2173.0,11665.0,MIT,,368.0,368.0,beets,conda-forge/beets,2021-11-27 16:44:38,1.6.0,33.0,https://pypi.org/project/beets,7959.0,8076.0,https://anaconda.org/conda-forge/beets,2023-06-18 08:43:08.979,760.0,1.0,,9131.0
298,py-spy,A sampling profiler for Python programs. Written in Rust.,Debugging Tools,,https://github.com/benfred/py-spy,True,30,benfred/py-spy,https://github.com/benfred/py-spy,2018-08-01 02:22:15.000,2024-04-04 01:25:36.000,2024-02-27 19:23:07,384.0,11752.0,38.0,149.0,190.0,488.0,MIT,,3817.0,3817.0,py-spy,conda-forge/py-spy,2022-09-07 21:58:56,0.3.14,20.0,https://pypi.org/project/py-spy,1847651.0,1857488.0,https://anaconda.org/conda-forge/py-spy,2023-06-16 16:18:45.113,516285.0,1.0,,15795.0
299,Theano,A library for fast numerical computation.,Deep Learning,,https://github.com/Theano/Theano,True,30,Theano/Theano,https://github.com/Theano/Theano,2011-08-10 03:48:06.000,2024-01-15 03:16:24.000,2024-01-15 03:16:24,2410.0,9850.0,386.0,593.0,2087.0,28133.0,,,14917.0,14917.0,Theano,conda-forge/Theano,,,8.0,https://pypi.org/project/Theano,273171.0,298939.0,https://anaconda.org/conda-forge/Theano,2023-06-16 13:23:49.668,2396474.0,3.0,,
300,tinydb,"A tiny, document-oriented database.",Database,,https://github.com/msiemens/tinydb,True,30,msiemens/tinydb,https://github.com/msiemens/tinydb,2013-07-12 23:31:13.000,2024-02-20 16:22:32.000,2023-07-24 18:53:19,503.0,6474.0,82.0,17.0,292.0,697.0,MIT,,12898.0,12898.0,tinydb,conda-forge/tinydb,2023-06-12 19:06:37,4.8.0,61.0,https://pypi.org/project/tinydb,592375.0,596424.0,https://anaconda.org/conda-forge/tinydb,2023-06-12 22:06:12.645,380637.0,1.0,,
301,flower,Real-time monitor and web admin for Celery.,Admin Panels,,https://github.com/mher/flower,True,30,mher/flower,https://github.com/mher/flower,2012-07-08 13:35:09.000,2024-04-04 13:03:46.000,2023-12-17 18:24:33,993.0,6141.0,211.0,97.0,815.0,1355.0,,,17516.0,17516.0,flower,conda-forge/flower,,,12.0,https://pypi.org/project/flower,2506891.0,2511111.0,https://anaconda.org/conda-forge/flower,2023-10-16 20:39:40.629,189944.0,2.0,,
302,ptpython,Advanced Python REPL built on top of the [python-prompt-toolkit](https://github.com/jonathanslenders/python-prompt-..,Interactive Interpreter,,https://github.com/prompt-toolkit/ptpython,True,30,jonathanslenders/ptpython,https://github.com/prompt-toolkit/ptpython,2014-09-29 10:11:42.000,2024-02-28 21:05:56.000,2024-02-28 21:05:55,275.0,5034.0,60.0,223.0,164.0,500.0,BSD-3-Clause,prompt-toolkit/ptpython,2877.0,2877.0,ptpython,conda-forge/ptpython,2024-02-06 10:57:56,3.0.26,5.0,https://pypi.org/project/ptpython,815857.0,817177.0,https://anaconda.org/conda-forge/ptpython,2024-01-08 13:25:09.220,46205.0,1.0,,
303,django-crispy-forms,A Django app which lets you create beautiful forms in a very elegant and DRY way.,Forms,,https://github.com/django-crispy-forms/django-crispy-forms,True,30,django-crispy-forms/django-crispy-forms,https://github.com/django-crispy-forms/django-crispy-forms,2011-11-01 11:48:03.000,2024-03-06 22:15:06.000,2023-11-03 12:08:09,699.0,4897.0,225.0,50.0,635.0,,MIT,,140238.0,140238.0,django-crispy-forms,conda-forge/django-crispy-forms,2023-10-15 09:24:57,2.1,23.0,https://pypi.org/project/django-crispy-forms,1216681.0,1218935.0,https://anaconda.org/conda-forge/django-crispy-forms,2023-10-15 12:16:27.870,92434.0,2.0,,
304,mimesis,is a Python library that help you generate fake data.,Testing,,https://github.com/lk-geimfari/mimesis,True,30,lk-geimfari/mimesis,https://github.com/lk-geimfari/mimesis,2016-09-09 21:41:22.000,2024-04-04 10:23:55.000,2024-04-04 01:30:24,319.0,4287.0,119.0,6.0,339.0,2625.0,MIT,,1696.0,1696.0,mimesis,conda-forge/mimesis,2024-04-04 00:50:56,16.0.0,60.0,https://pypi.org/project/mimesis,188023.0,192115.0,https://anaconda.org/conda-forge/mimesis,2024-01-24 22:04:50.706,183872.0,2.0,,561.0
305,python-docx,"Reads, queries and modifies Microsoft Word 2007/2008 docx files.",Specific Formats Processing,,https://github.com/python-openxml/python-docx,True,30,python-openxml/python-docx,https://github.com/python-openxml/python-docx,2013-10-15 14:50:41.000,2024-03-22 01:45:06.000,2023-11-04 00:15:44,934.0,4152.0,16.0,509.0,659.0,1049.0,MIT,,26191.0,26191.0,python-docx,conda-forge/python-docx,,,8.0,https://pypi.org/project/python-docx,4476508.0,4481534.0,https://anaconda.org/conda-forge/python-docx,2023-11-04 15:43:06.891,175912.0,2.0,,
306,Cerberus,A lightweight and extensible data validation library.,Data Validation,,https://github.com/pyeve/cerberus,True,30,pyeve/cerberus,https://github.com/pyeve/cerberus,2012-10-10 10:03:49.000,2023-10-23 15:11:13.000,2023-10-23 15:11:13,232.0,3103.0,66.0,16.0,334.0,1145.0,ISC,,15811.0,15811.0,cerberus,conda-forge/cerberus,,,8.0,https://pypi.org/project/cerberus,4797056.0,4810203.0,https://anaconda.org/conda-forge/cerberus,2023-10-06 12:57:48.461,368118.0,3.0,,
307,python-decouple,Strict separation of settings from code.,Configuration,,https://github.com/HBNetwork/python-decouple,True,30,henriquebastos/python-decouple,https://github.com/HBNetwork/python-decouple,2014-02-25 04:16:08.000,2024-01-20 20:30:56.000,2024-01-01 17:54:57,190.0,2666.0,36.0,4.0,90.0,200.0,MIT,HBNetwork/python-decouple,126197.0,126197.0,python-decouple,conda-forge/python-decouple,2023-03-01 19:38:11,3.8,8.0,https://pypi.org/project/python-decouple,3194092.0,3195095.0,https://anaconda.org/conda-forge/python-decouple,2023-06-16 13:21:51.317,79259.0,1.0,,12.0
